filename,labels
train_0.jpg,01G
train_1.jpg,"10A, 10G"
train_2.jpg,"12A, 11A"
train_3.jpg,"11A, 12A"
train_4.jpg,"12F, 12C, 11B"
train_5.jpg,"11B, 12A"
train_6.jpg,"02F, 12A, 02B"
train_7.jpg,02H
train_8.jpg,12A
train_9.jpg,01G
train_10.jpg,12A
train_11.jpg,"01C, 01B"
train_12.jpg,"08E, 01H"
train_13.jpg,01B
train_14.jpg,12D
train_15.jpg,"12H, 12A, 12D"
train_16.jpg,12C
train_17.jpg,"12G, 04A"
train_18.jpg,"12F, 02G"
train_19.jpg,02B
train_20.jpg,10F
train_21.jpg,02B
train_22.jpg,12D
train_23.jpg,"12A, 11B"
train_24.jpg,11A
train_25.jpg,"03C, 12A"
train_26.jpg,"02G, 12G, 02B"
train_27.jpg,"02B, 12A, 04A"
train_28.jpg,12G
train_29.jpg,02C
train_30.jpg,"12F, 12A, 12G"
train_31.jpg,"12F, 12A"
train_32.jpg,"12F, 04D"
train_33.jpg,"12G, 12A, 04A"
train_34.jpg,"12G, 10D, 01G"
train_35.jpg,"12F, 11A"
train_36.jpg,10E
train_37.jpg,12C
train_38.jpg,03C
train_39.jpg,"06H, 01D"
train_40.jpg,"03C, 07A"
train_41.jpg,02B
train_42.jpg,"12D, 01C"
train_43.jpg,"12G, 06V"
train_44.jpg,"01H, 12C"
train_45.jpg,"12C, 04C"
train_46.jpg,02A
train_47.jpg,"01H, 12A"
train_48.jpg,01H
train_49.jpg,"12A, 12B"
train_50.jpg,"02B, 01G"
train_51.jpg,01F
train_52.jpg,01A
train_53.jpg,12G
train_54.jpg,"12C, 12H"
train_55.jpg,12C
train_56.jpg,09A
train_57.jpg,12F
train_58.jpg,03B
train_59.jpg,12D
train_60.jpg,01C
train_61.jpg,"04B, 12G"
train_62.jpg,"01G, 01F"
train_63.jpg,02B
train_64.jpg,"01H, 12G"
train_65.jpg,"02G, 02B"
train_66.jpg,"12D, 03B"
train_67.jpg,"12F, 11B, 10E"
train_68.jpg,02F
train_69.jpg,12D
train_70.jpg,"08D, 01E"
train_71.jpg,"01G, 02B"
train_72.jpg,01G
train_73.jpg,"02G, 02B"
train_74.jpg,12A
train_75.jpg,02B
train_76.jpg,"12G, 12F"
train_77.jpg,01B
train_78.jpg,"12E, 12G"
train_79.jpg,02A
train_80.jpg,02B
train_81.jpg,"06V, 12E"
train_82.jpg,"12C, 12G"
train_83.jpg,01G
train_84.jpg,01G
train_85.jpg,"11A, 07A"
train_86.jpg,"06V, 02B, 01G"
train_87.jpg,01H
train_88.jpg,"12B, 11B"
train_89.jpg,"04D, 12F"
train_90.jpg,12G
train_91.jpg,"12A, 06Q"
train_92.jpg,02B
train_93.jpg,"12A, 11B"
train_94.jpg,02B
train_95.jpg,12C
train_96.jpg,"03B, 12D"
train_97.jpg,"02D, 01G"
train_98.jpg,"01B, 12C"
train_99.jpg,11B
train_100.jpg,"11B, 12F"
train_101.jpg,01E
train_102.jpg,"02G, 02B"
train_103.jpg,12A
train_104.jpg,01B
train_105.jpg,02B
train_106.jpg,05A
train_107.jpg,"02B, 12E"
train_108.jpg,"13F, 13A, 06Z"
train_109.jpg,03C
train_110.jpg,"12G, 12F, 11B"
train_111.jpg,01G
train_112.jpg,"12B, 12H"
train_113.jpg,02B
train_114.jpg,01G
train_115.jpg,12D
train_116.jpg,"12G, 10B, 06Z"
train_117.jpg,02A
train_118.jpg,"04B, 02C"
train_119.jpg,"01G, 09A"
train_120.jpg,"12C, 11B"
train_121.jpg,"12A, 12G"
train_122.jpg,"04C, 03B"
train_123.jpg,11B
train_124.jpg,"02F, 01F"
train_125.jpg,03B
train_126.jpg,"05A, 04B"
train_127.jpg,"13A, 01E, 01A"
train_128.jpg,"12E, 12G"
train_129.jpg,"06V, 12B"
train_130.jpg,12C
train_131.jpg,"12H, 12C"
train_132.jpg,01A
train_133.jpg,11B
train_134.jpg,12A
train_135.jpg,"02B, 01G"
train_136.jpg,02B
train_137.jpg,11B
train_138.jpg,"01C, 01B"
train_139.jpg,03B
train_140.jpg,12C
train_141.jpg,"04A, 01B"
train_142.jpg,12A
train_143.jpg,01G
train_144.jpg,12A
train_145.jpg,"12A, 12F"
train_146.jpg,"02B, 01G"
train_147.jpg,"02G, 12F"
train_148.jpg,02D
train_149.jpg,12E
train_150.jpg,"02B, 01G"
train_151.jpg,02A
train_152.jpg,"03A, 01G"
train_153.jpg,"12A, 12F"
train_154.jpg,03B
train_155.jpg,01G
train_156.jpg,02B
train_157.jpg,"12G, 12C"
train_158.jpg,"01G, 01E"
train_159.jpg,06V
train_160.jpg,"02B, 01G"
train_161.jpg,"12G, 12D"
train_162.jpg,"12F, 12C"
train_163.jpg,12C
train_164.jpg,02A
train_165.jpg,"10E, 03B, 01B"
train_166.jpg,02B
train_167.jpg,"12F, 12C"
train_168.jpg,01G
train_169.jpg,"05D, 09A"
train_170.jpg,03B
train_171.jpg,"01G, 02B"
train_172.jpg,"06A, 02G"
train_173.jpg,11B
train_174.jpg,"06P, 02B"
train_175.jpg,"12A, 12C"
train_176.jpg,"09F, 01G"
train_177.jpg,02B
train_178.jpg,"11B, 12A"
train_179.jpg,"01C, 12D, 01G"
train_180.jpg,"12A, 12F"
train_181.jpg,"01F, 01C"
train_182.jpg,01H
train_183.jpg,"10G, 10B, 12E, 02B, 12A"
train_184.jpg,"05B, 13E"
train_185.jpg,"12A, 12E"
train_186.jpg,"02B, 01H"
train_187.jpg,"12F, 12D, 12C"
train_188.jpg,"12A, 11B"
train_189.jpg,"03D, 01G"
train_190.jpg,"12C, 11B, 11C"
train_191.jpg,"03B, 12D"
train_192.jpg,"12A, 05A, 03C"
train_193.jpg,11D
train_194.jpg,"04D, 05B"
train_195.jpg,"01G, 09A"
train_196.jpg,01C
train_197.jpg,"12G, 12E"
train_198.jpg,"12A, 12G"
train_199.jpg,12A
train_200.jpg,03A
train_201.jpg,"13A, 01A, 01G"
train_202.jpg,"12F, 12D"
train_203.jpg,01F
train_204.jpg,"12A, 12G"
train_205.jpg,01D
train_206.jpg,"01G, 01C"
train_207.jpg,"02B, 01G"
train_208.jpg,01H
train_209.jpg,"13E, 05B"
train_210.jpg,12F
train_211.jpg,"08D, 01B"
train_212.jpg,"12F, 12G, 10E"
train_213.jpg,12A
train_214.jpg,"12G, 10D"
train_215.jpg,12C
train_216.jpg,"05A, 04A"
train_217.jpg,"01G, 02A"
train_218.jpg,"02B, 01G"
train_219.jpg,"11B, 12A"
train_220.jpg,03B
train_221.jpg,02B
train_222.jpg,"12C, 12G"
train_223.jpg,"01G, 01A, 02A"
train_224.jpg,12F
train_225.jpg,12A
train_226.jpg,"01H, 01G, 06M"
train_227.jpg,01G
train_228.jpg,12A
train_229.jpg,12E
train_230.jpg,01F
train_231.jpg,"12A, 12G, 03B"
train_232.jpg,"12G, 12C, 12A"
train_233.jpg,"02B, 01G"
train_234.jpg,04D
train_235.jpg,04A
train_236.jpg,"10E, 12C"
train_237.jpg,12A
train_238.jpg,12C
train_239.jpg,01H
train_240.jpg,12G
train_241.jpg,"12F, 12D"
train_242.jpg,02A
train_243.jpg,"03B, 01D, 01H"
train_244.jpg,"01G, 01H"
train_245.jpg,11B
train_246.jpg,"12G, 03A"
train_247.jpg,"12D, 04D"
train_248.jpg,11D
train_249.jpg,12C
train_250.jpg,"03B, 12E"
train_251.jpg,"11B, 08F"
train_252.jpg,"12B, 12H"
train_253.jpg,02B
train_254.jpg,06V
train_255.jpg,"12C, 01H"
train_256.jpg,"12F, 06V"
train_257.jpg,"03C, 06V"
train_258.jpg,"07A, 06F, 01G"
train_259.jpg,"01H, 01B"
train_260.jpg,12B
train_261.jpg,12C
train_262.jpg,"12C, 12F"
train_263.jpg,"13A, 02B, 13B, 01G"
train_264.jpg,"12D, 11B, 12G"
train_265.jpg,"01H, 12C"
train_266.jpg,"06M, 04A"
train_267.jpg,02B
train_268.jpg,"12A, 12F"
train_269.jpg,"03C, 12F"
train_270.jpg,"12E, 04A"
train_271.jpg,02B
train_272.jpg,"02D, 02G"
train_273.jpg,05C
train_274.jpg,12C
train_275.jpg,02B
train_276.jpg,"02B, 01G"
train_277.jpg,"12G, 04D, 12F"
train_278.jpg,"06Z, 01G, 12C, 01H"
train_279.jpg,02A
train_280.jpg,12G
train_281.jpg,"01C, 01G"
train_282.jpg,01D
train_283.jpg,"12G, 12B, 03B"
train_284.jpg,02B
train_285.jpg,02B
train_286.jpg,02D
train_287.jpg,"12G, 12C"
train_288.jpg,"12G, 12F"
train_289.jpg,"06Z, 02A, 06F"
